,Shape_type,Latitude,r_pl,l_pl,t_pl,V_pl,S_pl,V_T,Shape_factor,Density,time_length
0,fiber,13.7,2.20E-05,6.00E-05,0.00042493,4.44E-14,8.75E-09,4.44E-14,0.700029915,929,500
1,fiber,13.7,3.71E-05,0.000133,0.00928567,2.14E-13,2.54E-08,2.14E-13,0.603214315,947,500
2,fiber,13.7,4.08E-05,0.000146,0.00791445,2.85E-13,3.06E-08,2.85E-13,0.603795317,992,500
3,sphere,13.7,5.50E-05,0.010688,0.00550523,6.97E-13,3.80E-08,6.97E-13,0.8,933,500
4,sphere,13.7,2.49E-05,0.000227,0.00497093,6.46E-14,7.78E-09,6.46E-14,0.8,908,500
5,sphere,13.7,7.82E-05,0.010265,0.00902495,2.00E-12,7.69E-08,2.00E-12,0.8,979,500
6,fiber,13.7,0.000172745,0.000803,0.00070558,2.16E-11,5.74E-07,2.16E-11,0.498118829,941,500
7,fiber,13.7,2.57E-05,0.000118,0.00358464,7.11E-14,1.27E-08,7.11E-14,0.503121867,871,500
8,fiber,13.7,0.000112349,0.000524,0.00341335,5.94E-12,2.43E-07,5.94E-12,0.496762666,979,500
9,sphere,13.7,0.000135942,0.005201,0.00743471,1.05E-11,2.32E-07,1.05E-11,0.8,924,500
10,fiber,13.7,9.41E-05,0.000755,0.00014757,3.49E-12,2.01E-07,3.49E-12,0.298496456,966,500
11,film,13.7,3.97E-05,0.004291,0.00019819,2.63E-13,2.82E-08,2.63E-13,0.496929255,976,500
12,fiber,13.7,5.42E-05,0.000322,0.00877374,6.68E-13,6.03E-08,6.68E-13,0.402014484,864,500
13,fiber,13.7,3.21E-05,0.000117,0.00430272,1.39E-13,1.90E-08,1.39E-13,0.596997257,960,500
14,fiber,13.7,9.94E-05,0.000274,0.00794985,4.12E-12,1.79E-07,4.12E-12,0.69720583,981,500
15,film,13.7,0.000199789,0.011925,0.00024572,3.34E-11,5.93E-07,3.34E-11,0.598058707,929,500
16,film,13.7,9.62E-05,0.008865,0.00154324,3.72E-12,2.74E-07,3.72E-12,0.300313997,862,500
17,sphere,13.7,8.25E-05,0.010823,0.00072039,2.35E-12,8.54E-08,2.35E-12,0.9,978,500
18,film,13.7,9.70E-05,0.012454,0.00022806,3.82E-12,1.38E-07,3.82E-12,0.604938699,942,500
19,sphere,13.7,4.78E-05,0.008754,0.00929407,4.58E-13,2.87E-08,4.58E-13,0.9,972,500
20,film,13.7,0.000293011,0.010841,0.00139792,1.05E-10,1.51E-06,1.05E-10,0.504786259,994,500
21,sphere,13.7,1.62E-05,0.002325,0.00876843,1.77E-14,3.28E-09,1.77E-14,0.8,855,500
22,film,13.7,0.000317435,0.001432,0.00076405,1.34E-10,1.48E-06,1.34E-10,0.602974867,871,500
23,sphere,13.7,6.91E-05,0.007081,0.00497146,1.38E-12,6.00E-08,1.38E-12,0.8,985,500
24,film,13.7,2.19E-05,0.004663,0.00081136,4.41E-14,2.13E-08,4.41E-14,0.200250414,875,500
25,fiber,13.7,8.73E-05,0.000699,0.00012207,2.78E-12,1.72E-07,2.78E-12,0.298948688,959,500
26,fiber,13.7,0.000209913,0.00024,0.0096878,3.87E-11,9.88E-07,3.87E-11,0.702431085,998,500
27,film,13.7,2.06E-06,0.009531,1.47E-06,3.68E-17,7.61E-11,3.68E-17,0.496918497,920,500
28,fiber,13.7,8.28E-05,0.000303,0.00544083,2.38E-12,1.27E-07,2.38E-12,0.595003263,970,500
29,fiber,13.7,0.000207533,0.00075,0.00765442,3.74E-11,7.94E-07,3.74E-11,0.599914538,868,500
30,film,13.7,4.90E-06,0.002433,2.37E-05,4.93E-16,4.25E-10,4.93E-16,0.502191716,860,500
31,fiber,13.7,0.00012733,0.000462,0.00701563,8.65E-12,2.99E-07,8.65E-12,0.598336767,858,500
32,fiber,13.7,0.000116448,0.000424,0.00393321,6.61E-12,2.50E-07,6.61E-12,0.596952534,889,500
33,film,13.7,3.83E-05,0.00805,0.00018356,2.36E-13,2.59E-08,2.36E-13,0.50415806,923,500
34,film,13.7,3.08E-05,0.001936,0.00049085,1.23E-13,2.80E-08,1.23E-13,0.301499,934,500
35,sphere,13.7,1.44E-05,0.01216,0.00892395,1.25E-14,2.61E-09,1.25E-14,0.9,956,500
36,film,13.7,0.000113386,0.000458,0.00095843,6.11E-12,2.84E-07,6.11E-12,0.402350397,856,500
37,sphere,13.7,0.000133694,0.000788,0.0004231,1.00E-11,2.25E-07,1.00E-11,0.8,990,500
38,fiber,13.7,4.78E-06,3.80E-05,0.00275655,4.59E-16,5.16E-10,4.59E-16,0.301607839,959,500
39,film,13.7,0.000141224,0.000503,0.00010287,1.18E-11,3.53E-07,1.18E-11,0.502213805,973,500
40,fiber,13.7,9.06E-05,0.000536,0.00505651,3.11E-12,1.68E-07,3.11E-12,0.403232482,976,500
41,fiber,13.7,8.29E-05,0.000658,0.00860679,2.39E-12,1.55E-07,2.39E-12,0.301929072,903,500
42,fiber,13.7,0.00013745,0.000376,0.00222045,1.09E-11,3.42E-07,1.09E-11,0.699461615,990,500
43,fiber,13.7,7.78E-05,0.000278,0.0018351,1.97E-12,1.11E-07,1.97E-12,0.604494022,998,500
44,fiber,13.7,7.62E-05,0.000274,0.0039489,1.85E-12,1.07E-07,1.85E-12,0.601802426,989,500
45,film,13.7,0.00058724,0.005736,0.000122,8.48E-10,1.50E-05,8.48E-10,0.203652838,949,500
46,fiber,13.7,0.000183637,0.001474,0.00103534,2.59E-11,7.64E-07,2.59E-11,0.298330614,899,500
47,film,13.7,5.28E-05,0.001997,0.00085047,6.16E-13,8.26E-08,6.16E-13,0.299770723,910,500
48,fiber,13.7,6.55E-05,5.80E-05,0.0078472,1.18E-12,1.10E-07,1.18E-12,0.603778362,916,500
49,fiber,13.7,0.00013852,0.000835,0.00366407,1.11E-11,3.95E-07,1.11E-11,0.396340433,948,500
50,film,13.7,6.70E-05,0.000614,0.00253826,1.26E-12,2.02E-07,1.26E-12,0.198070494,937,500
51,film,13.7,2.50E-05,0.009697,0.0004029,6.53E-14,1.85E-08,6.53E-14,0.299635924,898,500
52,film,13.7,0.000245766,0.012543,0.00018095,6.22E-11,1.06E-06,6.22E-11,0.50476309,950,500
53,film,13.7,4.42E-06,0.006146,1.04E-05,3.62E-16,2.87E-10,3.62E-16,0.604606552,966,500
54,sphere,13.7,7.62E-06,0.010866,0.00721782,1.86E-15,7.31E-10,1.86E-15,0.8,985,500
55,fiber,13.7,1.44E-05,3.90E-05,0.00225263,1.24E-14,3.74E-09,1.24E-14,0.701782637,908,500
56,fiber,13.7,1.58E-05,7.40E-05,0.00860267,1.65E-14,4.82E-09,1.65E-14,0.495292557,857,500
57,film,13.7,4.42E-05,0.004501,0.00071914,3.61E-13,5.81E-08,3.61E-13,0.298268763,908,500
58,film,13.7,0.000235353,0.011205,0.00385325,5.46E-11,1.65E-06,5.46E-11,0.29750009,866,500
59,film,13.7,0.000211421,0.010962,0.00822102,3.96E-11,2.03E-06,3.96E-11,0.195476012,897,500
60,film,13.7,5.17E-05,0.0091,0.00024694,5.80E-13,4.71E-08,5.80E-13,0.504665816,942,500
61,sphere,13.7,4.49E-05,0.011326,0.0065034,3.80E-13,2.54E-08,3.80E-13,0.8,874,500
