,Shape_type,Latitude,r_pl,l_pl,t_pl,V_pl,S_pl,V_T,Shape_factor,Density,time_length
0,fiber,13.7,2.197433386317276e-05,5.9999999999999995e-05,0.00042493,4.444631553722633e-14,8.752019590923024e-09,4.444631553722633e-14,0.7000299153943345,929,500
1,fiber,13.7,3.711253328047177e-05,0.000133,0.00928567,2.1411663498057537e-13,2.535675892168175e-08,2.1411663498057537e-13,0.6032143146135849,947,500
2,fiber,13.7,4.0800425050520885e-05,0.000146,0.00791445,2.8450026274582294e-13,3.0641186545195565e-08,2.8450026274582294e-13,0.603795316892882,992,500
3,sphere,13.7,5.500398872005397e-05,0.010688,0.00550523,6.970616056145138e-13,3.801878491915831e-08,6.970616056145138e-13,0.8,933,500
4,sphere,13.7,2.4889144189749714e-05,0.000227,0.00497093,6.458304245220176e-14,7.78448330241899e-09,6.458304245220176e-14,0.8,908,500
5,sphere,13.7,7.822389665540344e-05,0.010265,0.00902495,2.0049657021108305e-12,7.689334542907872e-08,2.0049657021108305e-12,0.8,979,500
6,fiber,13.7,0.00017274471733312949,0.000803,0.00070558,2.1592500328070476e-11,5.743412317744352e-07,2.1592500328070476e-11,0.4981188285177505,941,500
7,fiber,13.7,2.569950977806139e-05,0.000118,0.00358464,7.109894014272274e-14,1.2677935889407106e-08,7.109894014272274e-14,0.5031218673630877,871,500
8,fiber,13.7,0.0001123486407745828,0.0005239999999999999,0.00341335,5.940077031804424e-12,2.431169230846303e-07,5.940077031804424e-12,0.4967626660591115,979,500
9,sphere,13.7,0.0001359421573047548,0.005201,0.00743471,1.0523278932276375e-11,2.322299235406125e-07,1.0523278932276375e-11,0.8,924,500
10,fiber,13.7,9.411133985544627e-05,0.0007549999999999999,0.00014757,3.4915195549115584e-12,2.005040925578953e-07,3.4915195549115584e-12,0.29849645604969627,966,500
11,film,13.7,3.974469982438468e-05,0.004291,0.00019819,2.629821509318157e-13,2.8246116321373695e-08,2.629821509318157e-13,0.49692925545429173,976,500
12,fiber,13.7,5.42349834849029e-05,0.00032199999999999997,0.00877374,6.682318106473271e-13,6.030018979039344e-08,6.682318106473271e-13,0.40201448438780213,864,500
13,fiber,13.7,3.213665291369879e-05,0.000117,0.00430272,1.3902424209505577e-13,1.904990673953342e-08,1.3902424209505577e-13,0.596997257312497,960,500
14,fiber,13.7,9.943272944520921e-05,0.000274,0.00794985,4.11790850047312e-12,1.7918989582380772e-07,4.11790850047312e-12,0.6972058296797908,981,500
15,film,13.7,0.00019978937053231584,0.011925,0.00024572,3.340455918185497e-11,5.930561387723967e-07,3.340455918185497e-11,0.5980587071356072,929,500
16,film,13.7,9.615076372704973e-05,0.008865,0.00154324,3.72346112468541e-12,2.735424726699083e-07,3.72346112468541e-12,0.3003139969889157,862,500
17,sphere,13.7,8.246065764201674e-05,0.010823,0.00072039,2.348707807875044e-12,8.544830498701813e-08,2.348707807875044e-12,0.9,978,500
18,film,13.7,9.696092579156097e-05,0.012454,0.00022806,3.818377566944862e-12,1.380946982614579e-07,3.818377566944862e-12,0.6049386987387436,942,500
19,sphere,13.7,4.7811859734616005e-05,0.008754,0.00929407,4.57820799598057e-13,2.872639563526072e-08,4.57820799598057e-13,0.9,972,500
20,film,13.7,0.0002930113005208509,0.010841,0.00139792,1.0537600252423845e-10,1.511318791755661e-06,1.0537600252423845e-10,0.5047862585239156,994,500
21,sphere,13.7,1.6154143167111766e-05,0.002325,0.00876843,1.7657954437241975e-14,3.2792741009981544e-09,1.7657954437241975e-14,0.8,855,500
22,film,13.7,0.0003174350630326332,0.001432,0.0007640500000000001,1.339841105501356e-10,1.4849281772162422e-06,1.339841105501356e-10,0.6029748665623845,871,500
23,sphere,13.7,6.910616151213313e-05,0.007081,0.0049714600000000005,1.3824165416335115e-12,6.001273307840128e-08,1.3824165416335115e-12,0.8,985,500
24,film,13.7,2.1913388046594557e-05,0.004663,0.00081136,4.40775246943261e-14,2.1307892711594285e-08,4.40775246943261e-14,0.20025041442907954,875,500
25,fiber,13.7,8.725796067930948e-05,0.000699,0.00012207,2.7829396323387957e-12,1.722743723153649e-07,2.7829396323387957e-12,0.29894868769155386,959,500
26,fiber,13.7,0.00020991328603704403,0.00023999999999999998,0.0096878,3.874435104778962e-11,9.875727838169355e-07,3.874435104778962e-11,0.7024310850118219,998,500
27,film,13.7,2.0630719875766815e-06,0.009531,1.4700000000000001e-06,3.678169645742515e-17,7.610942972007844e-11,3.678169645742515e-17,0.49691849686400746,920,500
28,fiber,13.7,8.280721887610456e-05,0.000303,0.00544083,2.3784455084788905e-12,1.2656265583372337e-07,2.3784455084788905e-12,0.5950032627743984,970,500
29,fiber,13.7,0.00020753280104233757,0.00075,0.00765442,3.744112180151681e-11,7.937181871032997e-07,3.744112180151681e-11,0.5999145379224283,868,500
30,film,13.7,4.901612618912228e-06,0.002433,2.373e-05,4.932936960028055e-16,4.2511192952651247e-10,4.932936960028055e-16,0.5021917162054977,860,500
31,fiber,13.7,0.0001273297296433484,0.00046199999999999995,0.00701563,8.647250898781687e-12,2.9892829210486034e-07,8.647250898781687e-12,0.5983367670222396,858,500
32,fiber,13.7,0.00011644785373341569,0.000424,0.00393321,6.6142875952795956e-12,2.5012708837692585e-07,6.6142875952795956e-12,0.5969525337406467,889,500
33,film,13.7,3.8338766080836826e-05,0.00805,0.00018356,2.3604945539321903e-13,2.590624173617509e-08,2.3604945539321903e-13,0.5041580601658647,923,500
34,film,13.7,3.083763411471873e-05,0.001936,0.00049085,1.2283772459691344e-13,2.802664369727542e-08,1.2283772459691344e-13,0.30149900023562265,934,500
35,sphere,13.7,1.4407759465128433e-05,0.012159999999999999,0.00892395,1.2527890752133811e-14,2.6085716066655896e-09,1.2527890752133811e-14,0.9,956,500
36,film,13.7,0.00011338608233441614,0.00045799999999999997,0.00095843,6.10615549186735e-12,2.839291172107056e-07,6.10615549186735e-12,0.40235039688765245,856,500
37,sphere,13.7,0.00013369377865797265,0.000788,0.0004231,1.000972632813634e-11,2.2461164076476846e-07,1.000972632813634e-11,0.8,990,500
38,fiber,13.7,4.784304583975139e-06,3.7999999999999995e-05,0.00275655,4.587172484624569e-16,5.16311256405877e-10,4.587172484624569e-16,0.3016078392665235,959,500
39,film,13.7,0.0001412240003790947,0.000503,0.00010287,1.179815608467937e-11,3.5287690747514305e-07,1.179815608467937e-11,0.5022138045744455,973,500
40,fiber,13.7,9.057288009282369e-05,0.000536,0.00505651,3.1123121136666733e-12,1.6801298604189365e-07,3.1123121136666733e-12,0.4032324816616214,976,500
41,fiber,13.7,8.292917909946553e-05,0.000658,0.00860679,2.388970068614331e-12,1.5507014938573167e-07,2.388970068614331e-12,0.30192907220232784,903,500
42,fiber,13.7,0.00013745031742856705,0.000376,0.00222045,1.0877418819165681e-11,3.42422577073764e-07,1.0877418819165681e-11,0.6994616147595922,990,500
43,fiber,13.7,7.78270000100153e-05,0.000278,0.0018351,1.9746015768549406e-12,1.1146677963612798e-07,1.9746015768549406e-12,0.6044940222148784,998,500
44,fiber,13.7,7.618316183059517e-05,0.000274,0.0039489,1.852104935219947e-12,1.0689503136913505e-07,1.852104935219947e-12,0.6018024263369304,989,500
45,film,13.7,0.0005872403485080983,0.005736,0.000122,8.482742277991629e-10,1.5046523787614318e-05,8.482742277991629e-10,0.20365283754495886,949,500
46,fiber,13.7,0.0001836370150940545,0.0014739999999999998,0.00103534,2.593995893301811e-11,7.635610732191941e-07,2.593995893301811e-11,0.29833061434481584,899,500
