,Shape_type,Latitude,r_pl,l_pl,t_pl,V_pl,S_pl,V_T,Shape_factor,Density,time_length
0,fiber,13.5,0.00011580283784532685,0.0013499999999999999,0.00954904,6.504983751813567e-12,3.514704279266548e-07,6.504983751813567e-12,0.19893151161082184,850,500
1,film,13.5,4.4160420469921966e-05,0.012195,0.0017222000000000001,3.6073493971194865e-13,8.877589636049596e-08,3.6073493971194865e-13,0.19519388131934726,906,500
2,fiber,13.5,3.412815690830555e-05,0.000404,0.00233234,1.6650493646151624e-13,3.0722857308460416e-08,1.6650493646151624e-13,0.19552658975558387,890,500
3,fiber,13.5,0.00010832805349952118,0.000297,0.00277439,5.324899653348063e-12,2.1268977092910355e-07,5.324899653348063e-12,0.6987735847408418,871,500
4,sphere,13.5,6.742824384940165e-05,0.007202,0.00797813,1.2841452673006104e-12,5.713385937361938e-08,1.2841452673006104e-12,0.8,912,500
5,fiber,13.5,8.673404793932311e-06,3.1e-05,0.00816949,2.733112172459834e-15,1.3845047374762886e-09,2.733112172459834e-15,0.6042614660025074,981,500
6,fiber,13.5,2.56614276020243e-05,6.9e-05,0.0042022100000000005,7.07833397090746e-14,1.1937588285083465e-08,7.07833397090746e-14,0.7046642090693247,958,500
7,fiber,13.5,9.888829865051926e-05,0.000597,0.00108807,4.050636990457846e-12,2.0146257243603405e-07,4.050636990457846e-12,0.39577825841970593,893,500
8,fiber,13.5,6.029285517185629e-05,0.00047999999999999996,0.0083821,9.180919099415953e-13,8.206716152372102e-08,9.180919099415953e-13,0.300881265521687,862,500
9,sphere,13.5,1.7875831377118506e-05,0.008766999999999999,0.00955848,2.3926950835498105e-14,4.0155252638137725e-09,2.3926950835498105e-14,0.8,971,500
10,fiber,13.5,8.05607311493057e-06,2.2e-05,0.0067397,2.190074087030939e-15,1.1763136717754911e-09,2.190074087030939e-15,0.699985057168954,865,500
11,fiber,13.5,3.279350527796331e-05,0.000386,0.00494919,1.477243647814176e-13,2.8299360290180865e-08,1.477243647814176e-13,0.19678413963008629,990,500
12,film,13.5,7.510717460914562e-05,0.011328999999999999,0.00036883,1.774732425181576e-12,1.0031881935281788e-07,1.774732425181576e-12,0.49966082850455595,957,500
13,fiber,13.5,0.00012694093266852808,0.000146,0.00177506,8.568280269853021e-12,3.601273833909696e-07,8.568280269853021e-12,0.7043373127215781,954,500
14,film,13.5,7.164153525540594e-05,0.0041259999999999995,0.00035713,1.5402217840188729e-12,9.176549689500201e-08,1.5402217840188729e-12,0.4969872116803702,986,500
15,film,13.5,4.326430303488978e-05,0.005809,0.00161315,3.3921710613416143e-13,8.334474391211724e-08,3.3921710613416143e-13,0.19956118466392103,969,500
16,film,13.5,0.00010128772801819432,0.009979,0.00050382,4.352703634834819e-12,1.8328419200450785e-07,4.352703634834819e-12,0.4973745005809737,944,500
17,fiber,13.5,0.00024018953076170135,0.00027299999999999997,0.00612982,5.804313087196793e-11,1.2966817901079213e-06,5.804313087196793e-11,0.7005163924811101,890,500
18,fiber,13.5,2.7116252196326627e-05,0.00015999999999999999,0.00839228,8.351752247442731e-14,1.504640797281375e-08,8.351752247442731e-14,0.4043368062495997,871,500
19,fiber,13.5,4.4969818144864284e-05,0.00027,0.00179053,3.8093598775853877e-13,4.159464848424115e-08,3.8093598775853877e-13,0.39782478594577686,972,500
20,fiber,13.5,0.00017455875291442198,0.000811,0.00225681,2.227991353055684e-11,5.863986986765472e-07,2.227991353055684e-11,0.4983350469352002,956,500
21,film,13.5,0.000127016057122173,0.012476,0.00106657,8.583501563107697e-12,3.5527679194265587e-07,8.583501563107697e-12,0.40350161912535176,872,500
22,film,13.5,3.0111239080205113e-05,0.002489,0.0010731,1.1436009059106662e-13,3.948326386968202e-08,1.1436009059106662e-13,0.20405116290043848,992,500
23,film,13.5,0.00010551530094457335,0.007039999999999999,0.00091032,4.920791174919949e-12,2.4806834636327936e-07,4.920791174919949e-12,0.39879931020816534,973,500
24,film,13.5,8.506304595687727e-05,0.00013099999999999999,0.00138821,2.5781691014676175e-12,2.1578876391392564e-07,2.5781691014676175e-12,0.2979530934946913,986,500
25,fiber,13.5,1.6417271794368095e-05,7.599999999999999e-05,0.00907166,1.853495661406875e-14,5.182863119455436e-09,1.853495661406875e-14,0.4997983669201964,951,500
26,film,13.5,0.00010037767107308606,0.011623999999999999,0.00050581,4.236429218160204e-12,1.808473037526913e-07,4.236429218160204e-12,0.4950591116219261,901,500
27,sphere,13.5,4.4423847380522763e-05,0.009243,0.00667481,3.6722912225084013e-13,2.4799458662725943e-08,3.6722912225084013e-13,0.8,935,500
28,fiber,13.5,1.9694840206853333e-05,5.4e-05,0.00620293,3.199970641829881e-14,7.030229437693396e-09,3.199970641829881e-14,0.6987553246291932,924,500
29,film,13.5,8.162675575661173e-06,0.0033859999999999997,7.015e-05,2.2781704634519106e-15,1.4820885368248584e-09,2.2781704634519106e-15,0.39947149020397665,954,500
30,film,13.5,7.372292489605819e-05,0.009731,0.00065006,1.6784031301538984e-12,1.22256533597854e-07,1.6784031301538984e-12,0.3950280206430915,895,500
31,sphere,13.5,6.8400481809462235e-06,0.011812,0.00686533,1.3404977579460202e-15,5.879334717320287e-10,1.3404977579460202e-15,0.8,875,500
32,fiber,13.5,0.0003588705618979483,0.002895,0.00271842,1.9359855583981025e-10,2.9213675219838355e-06,1.9359855583981025e-10,0.2967819610502944,972,500
33,film,13.5,9.269231520932977e-05,0.008036,0.00011166,3.3359520437419636e-12,1.2816890162591394e-07,3.3359520437419636e-12,0.5956616817190173,975,500
34,fiber,13.5,0.0006228629997487018,0.004902,0.00436921,1.0121997095860867e-09,8.72226744199464e-06,1.0121997095860867e-09,0.3044844875711865,891,500
35,sphere,13.5,3.4705792642503886e-05,0.002624,0.00527672,1.75103373144329e-13,1.5136093413686918e-08,1.75103373144329e-13,0.8,928,500
36,film,13.5,8.845595223167823e-05,0.010608,0.00043467,2.899144055024257e-12,1.3917979393035155e-07,2.899144055024257e-12,0.4995429119981085,919,500
37,fiber,13.5,0.00017756873031687413,0.00049,0.00996947,2.345244236275894e-11,5.714602463310844e-07,2.345244236275894e-11,0.6967712865851216,906,500
38,sphere,13.5,6.941111714355755e-05,0.006907,0.008386030000000001,1.400798642014906e-12,6.054355698314484e-08,1.400798642014906e-12,0.9,891,500
39,fiber,13.5,0.00014401815090815765,0.001158,0.00018937,1.2512390822825053e-11,4.699272956140483e-07,1.2512390822825053e-11,0.2977926535794791,912,500
40,fiber,13.5,7.805835328105291e-05,6.8e-05,0.00194089,1.992263437709767e-12,1.584523039190859e-07,1.992263437709767e-12,0.5964372519434349,947,500
41,sphere,13.5,6.599229607803445e-05,0.005754,0.004472,1.2038387721024707e-12,5.472633217727222e-08,1.2038387721024707e-12,0.8,931,500
42,film,13.5,1.6583413264795608e-05,0.007104999999999999,0.00061269,1.910338728430155e-14,1.2190116946334717e-08,1.910338728430155e-14,0.2004632843318258,898,500
43,fiber,13.5,3.355456767741424e-05,0.000265,0.00712954,1.5824993937118135e-13,2.5344859584362013e-08,1.5824993937118135e-13,0.30338937677652,945,500
44,fiber,13.5,5.661383196424305e-05,0.000669,0.00355235,7.600746775284342e-13,8.448122512242978e-08,7.600746775284342e-13,0.19591545978718833,882,500
45,film,13.5,0.00018917126840066166,0.006154,0.00313627,2.835659867407587e-11,1.075238140263311e-06,2.835659867407587e-11,0.2957335228818257,964,500
46,fiber,13.5,8.577450762466905e-05,0.000397,0.00786646,2.643402585883609e-12,1.4147077977817743e-07,2.643402585883609e-12,0.4998734199779101,968,500
47,film,13.5,1.5356943216326187e-05,0.007193,3.6740000000000004e-05,1.5170606533617814e-14,3.4723608319525743e-09,1.5170606533617814e-14,0.6035031959160452,969,500
48,film,13.5,0.00014355468532826682,0.009027,0.00121788,1.2391980573347077e-11,4.558394392590902e-07,1.2391980573347077e-11,0.4017146883359038,925,500
49,fiber,13.5,2.259423961176821e-05,8.2e-05,0.00714069,4.8314979511145066e-14,9.412733808063888e-09,4.8314979511145066e-14,0.5982422879491274,877,500
50,film,13.5,3.344913586923337e-06,0.009963,8.35e-06,1.567629101497606e-16,1.658016803894673e-10,1.567629101497606e-16,0.5996194940538218,903,500
51,fiber,13.5,3.832777978907601e-06,1.4e-05,0.00540621,2.3584658774340057e-16,2.7108132454022724e-10,2.3584658774340057e-16,0.5956959794108905,968,500
52,sphere,13.5,4.7703931245256954e-05,0.011120999999999999,0.00991748,4.547273965513715e-13,2.8596850491011695e-08,4.547273965513715e-13,0.9,892,500
53,fiber,13.5,0.00027953218035619236,0.0032749999999999997,0.00204732,9.149219467708345e-11,2.0521968631368705e-06,9.149219467708345e-11,0.19781813239124363,968,500
54,fiber,13.5,0.00010556604331931175,0.0006349999999999999,0.00662433,4.927893824227558e-12,2.2934173737433998e-07,4.927893824227558e-12,0.39713233852626606,988,500
55,fiber,13.5,0.00026948169706726656,0.0030889999999999997,0.00391339,8.197405717102225e-11,1.8899740419270569e-06,8.197405717102225e-11,0.20273908641267535,875,500
56,sphere,13.5,0.0002115524450510711,0.003388,0.00234953,3.965909107942505e-11,5.624008420680399e-07,3.965909107942505e-11,0.8,953,500
